Year,Month,Day,Wholesaler (3MPa Area),Household use (3MPa Area),Business use (3MPa Area),Industrial use (3MPa Area),Power Gen use (3MPa Area),Wholesaler (7MPa Area),Household use (7MPa Area),Business use (7MPa Area),Industrial use (7MPa Area),Power Gen use (7MPa Area),3M Power Plant1,3M Power Plant2,7M Power Plant1
2023,3,30,1237.280581,2062.134301,1649.707441,4124.268603,1171.946779,1458.223542,2430.372569,1944.298055,4860.745139,1381.22299,1706.682353,426.670588,2011.447059
2023,3,31,1186.454276,1977.423794,1581.939035,3954.847587,1239.059898,1398.321111,2330.535185,1864.428148,4661.070371,1460.320594,1341.776471,335.444118,1581.379412
2023,4,1,1033.349674,1722.249456,1377.799565,3444.498913,821.735179,1217.876401,2029.794002,1623.835202,4059.588004,968.473604,1539.917647,384.979412,1814.902941
2023,4,2,1022.790255,1704.650426,1363.72034,3409.300851,779.964357,1205.431372,2009.052287,1607.24183,4018.104575,919.243706,1429.852941,357.463235,1685.183824
2023,4,3,1327.741951,2212.903252,1770.322602,4425.806504,1114.924052,1564.838728,2608.064547,2086.451638,5216.129094,1314.017633,1649.447059,412.361765,1943.991176
2023,4,4,1357.718115,2262.863524,1810.290819,4525.727048,821.702133,1600.167778,2666.946296,2133.557037,5333.892593,968.434656,1611.523529,402.880882,1899.295588
2023,4,5,1334.511776,2224.186293,1779.349035,4448.372587,839.580309,1572.81745,2621.362417,2097.089934,5242.724834,989.505364,1854.382353,463.595588,2185.522059
2023,4,6,1292.663825,2154.439708,1723.551766,4308.879416,1029.82922,1523.49665,2539.161084,2031.328867,5078.322168,1213.727295,1956.129412,489.032353,2305.438235
2023,4,7,1219.099445,2031.832408,1625.465926,4063.664816,1152.927569,1436.795774,2394.659624,1915.727699,4789.319247,1358.807492,1926.523529,481.630882,2270.545588
2023,4,8,1017.629318,1696.048863,1356.83909,3392.097725,434.991561,1199.348839,1998.914731,1599.131785,3997.829462,512.668626,1846.558824,461.639706,2176.301471
2023,4,9,1102.469237,1837.448729,1469.958983,3674.897458,404.687887,1299.338744,2165.564574,1732.451659,4331.129147,476.953581,1377.805882,344.451471,1623.842647
2023,4,10,1334.038605,2223.397675,1778.71814,4446.795351,406.57154,1572.259785,2620.432975,2096.34638,5240.865949,479.173601,1629.517647,407.379412,1920.502941
2023,4,11,1254.651977,2091.086628,1672.869302,4182.173256,407.166378,1478.696973,2464.494955,1971.595964,4928.989909,479.874659,1790.929412,447.732353,2110.738235
2023,4,12,1232.145785,2053.576308,1642.861046,4107.152616,411.693753,1452.171818,2420.286363,1936.22909,4840.572726,485.210495,1985.570588,496.392647,2340.136765
2023,4,13,1289.301617,2148.836029,1719.068823,4297.672058,391.436226,1519.534049,2532.556749,2026.045399,5065.113497,461.335552,1806.041176,451.510294,2128.548529
